id,address,categories,city,country,keys,latitude,longitude,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province,menuPageURL
AVwedobhByjofQCxybww,313 E 3rd St,"Barbecue Restaurants,Bar & Grills,Ice Cream & Frozen Desserts,Restaurants",Bethlehem,US,us/pa/bethlehem/313e3rdst/-692109462,40.612057,-75.37441,Looper's Grille Bar,18015,NA,NA,NA,PA,http://www.yellowpages.com/bethlehem-pa/mip/loopers-grille-bar-9272156/menu
AVwedq_lIN2L1WUf5KD5,2601 W Marina Place Elliott Bay Marina,Restaurant,Seattle,US,us/magnolia/seattle/2601wmarinaplaceelliottbaymarina/1007213437,47.633325,-122.386922,Palisade,98199,USD,31,50,Magnolia,NA
AVwedr8pByjofQCxycVF,1278 3rd Ave,Restaurant,New York,US,us/nyc/newyork/12783rdave/-412984179,40.771,-73.96,T-bar Steak & Lounge (upper East Side),10028,USD,31,50,Nyc,NA
AVweDsYt_7pvs4fz_qwM,3049 Sussex Ave,"Bar,American Restaurant,Coffee Shops,Caterers,Sandwich Shops,Restaurants",Pittsburgh,US,us/pitt/pittsburgh/3049sussexave/397741793,40.38433,-80.01593,Getaway Cafe,15226,NA,NA,NA,Pitt,NA
AVweDtDNIN2L1WUf1nfc,466 King St,"Restaurant,American Restaurant,New American Restaurant and American Restaurant,New American Restaurant",Franklin,US,us/ma/franklin/466kingst/-2035461762,42.066414,-71.398796,Joe's American Bar Grill,02038-2534,USD,25,40,MA,NA
AVweDW8MIN2L1WUf1kl8,9 S Granville Ave,Italian Restaurant,Margate City,US,us/margate/margatecity/9sgranvilleave/-333146739,39.32896703,-74.49943364,Barrels,8402,USD,25,40,Margate,NA
AVweEhuOByjofQCxvA7k,10451 Twin Rivers Rd,Restaurant,Columbia,US,us/md/columbia/10451twinriversrd/-1198168267,39.220515,-76.873795,The Melting Pot - Columbia,21045,USD,31,50,MD,NA
AVweeOcokufWRAb5DO-4,12538 Memorial Dr,Restaurant,Houston,US,us/bunkerhillvillage/houston/12538memorialdr/869888543,29.766338,-95.552739,The Union Kitchen (memorial Dr),77024,USD,0,30,Bunker Hill Village,NA
AVweErnH_7pvs4fz_zHc,Ulster Ave,Miscellaneous Shop,Kingston,US,us/stremy/kingston/ulsterave/-1028852545,41.95853223,-73.98853826,Five Below,12401,USD,25,40,St Remy,NA
AVweeSeMkufWRAb5DPnS,950 Lehigh Valley Mall,Restaurant,Whitehall,US,us/pa/whitehall/950lehighvalleymall/-1167127578,40.629789,-75.482768,Bravo Cucina Italiana - Whitehall - Lehigh Valley,18052,USD,0,30,PA,NA
AVweESFhIN2L1WUf1sj9,222 W Campbell Rd,Mediterranean Restaurant,Richardson,US,us/tx/richardson/222wcampbellrd/885787142,32.975947,-96.720418,Zoës Kitchen,75080,USD,25,40,TX,NA
AVweeTZf_7pvs4fzDT_w,9208 3rd Ave,"New York City,Restaurant,Brooklyn,Japanese Sushi,;area - brooklyn,neighborhood - fort-hamilton,cuisine - japanese,cuisine - sushi,meal - Lunch,meal - Dinner,feature - Delivery,feature - Online Ordering,feature - Accepts Credit Cards,feature - Lunch Special,feature - Take Out",Brooklyn,US,us/ny/brooklyn/92083rdave/-56943378,40.619116,-74.033148,Suki Japanese Restaurant,11209,NA,NA,NA,NY,NA
AVweEWo9kufWRAb5_uFX,180 Varick St,Pizza Place,New York,US,us/nyc/newyork/180varickst/-1125670535,40.7275977,-74.0051425,Little Italy Pizza Deli,10014,USD,25,40,Nyc,NA
AVweF2VA_7pvs4fz_9R-,2550 Pleasant Hill Rd,"Korean Restaurant,Restaurant",Duluth,US,us/ga/duluth/2550pleasanthillrd/2004999303,33.96851,-84.14471,Chung Dam,30096,USD,25,40,GA,NA
AVweFAnuIN2L1WUf1ydq,7669 S 700 E,"Restaurants,Pizza",Midvale,US,us/cushing/midvale/7669s700e/1717838929,40.61164,-111.87133,Big Daddy's Pizza,84047,NA,NA,NA,Cushing,http://www.yellowpages.com/midvale-ut/mip/big-daddys-pizza-458867237/menu?lid=458867237
AVwefMXsIN2L1WUf5ZEA,Hwy 15401,Greek Restaurant and Pizza Place,Bennettsville,US,us/sc/bennettsville/hwy15401/-2067748011,34.6074654,-79.680889,Pizza Time,29512,USD,0,25,SC,NA
AVwefQ9VIN2L1WUf5Zy1,319 Rt,Restaurant,Mine Hill,US,us/nj/minehill/319rt/-2138172591,40.8801739,-74.6071214,Cinders Wood Fire Grill,7803,USD,0,30,NJ,NA
AVwefQVHkufWRAb5DZKr,807 Rockville Pike,Pizza Place,Rockville,US,us/nobethesda/rockville/807rockvillepike/677227564,39.07604301,-77.13852882,Fresh Pizzeria,20852,NA,NA,NA,No Bethesda,NA
AVweFTm9kufWRAb5_1-Z,2151 Lemoine Ave,Pizza Place,Fort Lee,US,us/westfortlee/fortlee/2151lemoineave/2097468874,40.856,-73.96708,Cugino's Pizza,7024,NA,NA,NA,West Fort Lee,NA
AVwefWw7ByjofQCxysyH,215 W Rollins Rd,"Restaurants,Catering,Grocery Stores,Delis And Delicatessens",Round Lake,US,us/roundlakeheights/roundlake/215wrollinsrd/1864751017,42.378642,-88.088781,Sammies,60073,USD,0,25,Round Lake Heights,http://www.citysearch.com/profile/menu/3481166?singlePlatformId=sammies-17
AVweFxzjByjofQCxvLoV,47 S Main St,Pizza Place,Williamstown,US,us/collingslakes/williamstown/47smainst/-367860114,39.68589,-74.99495,Nick's Pizzeria,8094,NA,NA,NA,Collings Lakes,NA
AVweGbNtIN2L1WUf1--2,23642 Lorain Rd,"Café,Caf",North Olmsted,US,us/oh/northolmsted/23642lorainrd/-1020067125,41.432946,-81.88364104,Cafe Stratos,44070,NA,NA,NA,OH,NA
AVwegCxrIN2L1WUf5hRC,1735 W Kathleen Ave,"sandwich place,American Restaurants,Caterers,Restaurants,Sandwich Shops",Coeur D Alene,US,us/huetter/coeurdalene/1735wkathleenave/-2086524862,47.71557,-116.80962,Meltz Extreme Grilled Cheese,83815,NA,NA,NA,Huetter,http://www.yellowpages.com/coeur-d-alene-id/mip/meltz-extreme-grilled-cheese-475271999/menu
AVweGGUi_7pvs4fz__fD,5201 Center St,Restaurant,Williamsburg,US,us/va/williamsburg/5201centerst/-1768667062,37.279276,-76.742978,Hogarth's Bar & Bistro,23188,USD,0,30,VA,NA
AVweGqj9kufWRAb5ACBF,2847 State Route 35,Italian Restaurant,Hazlet,US,us/nj/hazlet/2847stateroute35/421592282,40.41778328,-74.17122535,Bertucci's,7730,USD,25,40,NJ,NA
AVwegV51IN2L1WUf5kHQ,505 Columbus Ave,"Restaurant,Greek Restaurant",New York,US,us/nyc/newyork/505columbusave/3287965,40.785247,-73.972665,Kefi,10024,USD,25,40,Nyc,NA
AVweH8D0ByjofQCxve-L,556 Route 25a,Asian Restaurant,Saint James,US,us/deerwells/saintjames/556route25a/1118921422,40.888104,-73.15428436,Kirin Hibachi Japanese Steakhouse,11780,USD,50,55,Deer Wells,NA
AVweHa1NByjofQCxvaC5,16852 21 Mile Rd,"Pizza Place,Wings Joint,Salad Place",Macomb,US,us/macombtwp/macomb/1685221milerd/588820430,42.64190628,-82.95409676,Jet's Pizza,48044,NA,NA,NA,Macomb Twp,NA
AVweHCK3kufWRAb5AFZ_,124 E Sheridan,Restaurant,Oklahoma City,US,us/ok/oklahomacity/124esheridan/-504193660,35.466207,-97.509378,West Bricktown,73104,USD,0,30,OK,NA
AVweHh7p_7pvs4fzAMY8,1809 1 W Anderson Ln,"Pizza Place and Mexican Restaurant Crestview,Pizza Place and Mexican Restaurant,Restaurants,Mexican Restaurant,Pizza Place,Pizza",Austin,US,us/tx/austin/18091wandersonln/-27862044,30.353264,-97.725494,Zi's Pizza,78757,NA,NA,NA,TX,NA
AVwehJq5kufWRAb5DrZf,10 E 120th Ave,Burger Joint and American Restaurant,Denver,US,us/northglenn/denver/10e120thave/1778060410,39.91217216,-104.988699,Damon's Grill,80233,USD,25,40,North Glenn,NA
AVweHkUcIN2L1WUf2JFw,329 Old Santa Fe Trl,"Take Out Restaurants,Italian Grocery Stores,Caterers,Restaurants,Italian Restaurants,Pizza",Santa Fe,US,us/chupadero/santafe/329oldsantafetrl/454346819,35.68489,-105.93767,Upper Crust Pizza,87501,NA,NA,NA,Chupadero,http://www.yellowpages.com/santa-fe-nm/mip/upper-crust-pizza-10583970/menu?lid=10583970
AVweH-ObIN2L1WUf2NCZ,81 Old Main St,"American Restaurants,Bars,Taverns,Restaurants",Deerfield,US,us/westdeerfield/deerfield/81oldmainst/-74550939,42.54604,-72.60433,Champney's Restaurant Tavern,1342,NA,NA,NA,West Deerfield,NA
AVweHqNg_7pvs4fzANlb,512 Rose Ave,Restaurant,Venice,US,us/ca/venice/512roseave/-2032511844,33.997981,-118.47331,Cafe Gratitude - Venice,90291,USD,0,30,CA,NA
AVweHra6ByjofQCxvcaY,418 W 9th St,"Fast Food,Food & Entertainment",Mount Carmel,US,us/friendsville/mountcarmel/418w9thst/-1658150845,38.413847,-87.770244,Casey's General Store,62863,NA,NA,NA,Friendsville,NA
AVweI38X_7pvs4fzAYAe,363 Roberts St,Restaurant,East Hartford,US,us/easthtfd/easthartford/363robertsst/-1039927829,41.767954,-72.620425,Nolita,6108,USD,0,30,East Htfd,NA
AVweiz5rkufWRAb5D7bH,121 Firefighters Memorial Dr,"Delicatessens,Restaurants,Restaurant",Fort Montgomery,US,us/ny/fortmontgomery/121firefightersmemorialdr/-680475207,41.32389,-73.98722,Foodies,10922,NA,NA,NA,NY,NA
AVweJ2gBIN2L1WUf2dpp,2807 W 95th St,Pizza Place,Evergreen Park,US,us/il/evergreenpark/2807w95thst/1840315723,41.72072431,-87.69252705,Rosangela's Pizza,60805,USD,25,40,IL,NA
AVweJEugkufWRAb5AW0E,120 W Olive Saint Fort Collins Co,"Pizza Place Downtown Fort Collins,Pizza Place",Fort Collins,US,us/co/fortcollins/120wolivesaintfortcollins/2023214574,40.5845793,-105.0781095,Uncle's Pizzeria & Co.,80524,USD,0,25,CO,NA
AVweJexxkufWRAb5Aae_,620 S Broad St,"Pizza Place,Pizza,Italian Restaurants,Sandwich Shops,Restaurants",Lansdale,US,us/pa/lansdale/620sbroadst/-768962140,40.233795,-75.29139,Park Ave Pizzeria,19446,NA,NA,NA,PA,NA
AVweJTH9kufWRAb5AYxb,516 E Oakland Park Blvd,"Italian Restaurants,Bars,Pizza,Taverns,Restaurants",Fort Lauderdale,US,us/wiltonmanors/fortlauderdale/516eoaklandparkblvd/-503700164,26.166536,-80.13974,Primanti Bros,33334,NA,NA,NA,Wilton Manors,NA
AVweK8g5_7pvs4fzAqE-,5761 Springdale Rd,"Pizza Place,Pizza,Restaurants",Cincinnati,US,us/groesbeck/cincinnati/5761springdalerd/-1534046487,39.22971,-84.6313,Nypd Pizza,45247,NA,NA,NA,Groesbeck,NA
AVweK9p7_7pvs4fzAqQL,257 W Wilmington Chester Pike,"Pizza Place,Steak Houses,Pizza,Barbecue Restaurants,Caterers,Take Out Restaurants,Sandwich Shops,Restaurants",Chadds Ford,US,us/pa/chaddsford/257wwilmingtonchesterpike/-899093135,39.8525,-75.53895,Concord Pike Steak Shop,19317,NA,NA,NA,PA,NA
AVweKaqCByjofQCxv023,27 Pleasant St,American Restaurant,South Weymouth,US,us/weymouthnas/southweymouth/27pleasantst/1321712359,42.17215921,-70.95452033,Warrens Place,2190,USD,25,40,Weymouth Nas,NA
AVwekDwtkufWRAb5EHm_,7A Trolly Sq,Restaurant,Wilmington,US,us/de/wilmington/7atrollysq/-1935828116,39.757859,-75.56166,Cantina Di Napoli,19806,USD,0,30,DE,NA
AVweKoyn_7pvs4fzAngl,1751 Scottsville Rd,Italian Restaurant,Bowling Green,US,us/ky/bowlinggreen/1751scottsvillerd/574246130,36.96640602,-86.434292,Geno's Deli,42104,USD,0,25,KY,NA
